NAME_2,NAME_3,lat,long,avg_rainfall,max_rainfall,elevation,slope,ndvi,month,year,landcover_class,population_density,drainage_density,distance_to_river,banjir
Palu,Palu_Kec_10,-0.942239,121.635788,143.62,193.16,238.51,5.79,0.252,7,2024,Tree Cover,822.05,5.016,653.87,0
Tolitoli,Tolitoli_Kec_5,-0.415796,121.8138,85.52,194.83,3.9,34.33,0.549,6,2019,Tree Cover,82.31,5.121,645.54,0
Buol,Buol_Kec_16,0.891116,124.008708,80.7,140.86,5.04,16.28,0.456,1,2017,Tree Cover,97.57,4.374,1802.36,0
Banggai Kepulauan,Banggai Kepulauan_Kec_1,-1.1866,124.16341,252.28,281.77,18.85,17.73,0.154,3,2021,Agriculture,135.72,1.51,2700.23,0
Palu,Palu_Kec_9,0.839162,120.498643,193.64,239.05,116.09,33.15,0.515,11,2016,Tree Cover,101.09,4.003,192.69,0
Parigi Moutong,Parigi Moutong_Kec_5,-1.206987,122.242418,143.81,206.93,14.07,7.01,0.449,5,2015,Tree Cover,1160.64,4.644,1576.34,0
Donggala,Donggala_Kec_10,0.253425,119.595488,195.99,288.09,32.12,8.43,0.358,10,2022,Agriculture,35.53,0.988,713.89,0
Poso,Poso_Kec_4,0.950624,123.754013,240.7,293.19,322.67,7.52,0.661,10,2015,Tree Cover,585.8,5.788,414.12,0
Palu,Palu_Kec_8,-1.743383,120.136596,142.27,190.46,89.53,22.38,0.428,10,2024,Tree Cover,72.84,2.634,116.23,0
Banggai Laut,Banggai Laut_Kec_20,-1.227737,123.914877,185.58,247.63,96.73,15.03,0.083,9,2018,Bareland,102.35,2.646,3164.09,0
Donggala,Donggala_Kec_4,0.041688,121.058256,148.74,205.48,201.09,23.29,0.589,11,2018,Tree Cover,229.09,5.093,794.34,0
Tojo Una-Una,Tojo Una-Una_Kec_20,0.869891,123.726686,197.97,227.92,20.96,15.38,0.709,12,2019,Tree Cover,1385.93,1.636,1150.19,0
Banggai,Banggai_Kec_1,-0.461213,122.973945,158.46,185.89,178.02,4.29,0.29,1,2023,Agriculture,385.9,3.827,1743.63,0
Tolitoli,Tolitoli_Kec_5,-0.803163,124.003629,192.12,304.17,244.4,32.64,0.167,9,2019,Bareland,114.95,2.613,835.56,0
Morowali Utara,Morowali Utara_Kec_1,-1.108348,121.849043,94.11,149.83,162.71,15.84,0.124,10,2020,Built-up,718.37,5.153,48.3,0
Morowali,Morowali_Kec_8,1.195681,121.665381,105.17,172.37,188.25,5.29,0.567,11,2022,Tree Cover,37.12,1.035,412.31,0
Banggai Kepulauan,Banggai Kepulauan_Kec_14,-0.597292,123.305553,185.51,234.67,69.54,31.13,0.324,6,2019,Agriculture,168.38,1.885,1726.76,0
Banggai Laut,Banggai Laut_Kec_3,-0.777251,122.217672,127.15,148.13,81.66,19.82,0.497,7,2021,Tree Cover,1190.26,0.889,988.44,0
Donggala,Donggala_Kec_17,0.257563,119.589392,226.62,289.24,23.44,11.93,0.295,6,2024,Agriculture,114.44,5.442,564.78,0
Morowali Utara,Morowali Utara_Kec_16,0.324442,123.663793,159.33,202.5,131.28,3.47,0.471,8,2021,Agriculture,319.96,4.359,1338.07,0
Banggai Laut,Banggai Laut_Kec_13,0.020767,122.324064,162.2,220.42,26.09,9.05,0.615,10,2017,Tree Cover,224.06,3.584,166.75,1
Morowali,Morowali_Kec_9,0.625147,122.102636,108.72,200.26,7.49,13.61,0.263,7,2019,Agriculture,300.45,3.855,871.96,0
Morowali,Morowali_Kec_3,-1.66633,123.422208,134.83,244.66,460.04,9.26,0.13,6,2021,Bareland,313.67,5.54,110.72,0
Parigi Moutong,Parigi Moutong_Kec_4,-1.635638,123.016527,164.24,238.83,555.33,16.54,0.105,7,2020,Built-up,165.11,0.273,1998.9,0
Tolitoli,Tolitoli_Kec_11,-0.144662,120.870271,145.54,243.85,83.98,23.34,0.281,12,2023,Agriculture,622.99,3.761,525.76,0
Palu,Palu_Kec_12,1.158541,123.605618,233.21,268.93,62.82,17.55,0.25,2,2018,Tree Cover,912.83,2.604,44.72,1
Banggai Laut,Banggai Laut_Kec_6,-0.432227,123.56913,186.12,203.28,444.76,16.05,0.415,9,2015,Tree Cover,495.5,2.411,430.35,0
Tolitoli,Tolitoli_Kec_16,-1.452459,122.39359,116.31,159.77,436.05,27.02,0.415,9,2021,Agriculture,185.21,2.709,1059.42,0
Buol,Buol_Kec_5,-0.943005,123.823835,73.72,197.86,832.96,28.38,0.211,1,2016,Agriculture,349.48,1.221,12.82,0
Tolitoli,Tolitoli_Kec_15,-0.116841,121.419696,192.25,203.69,28.93,29.14,0.449,11,2024,Agriculture,187.14,1.624,111.38,0
Poso,Poso_Kec_7,-0.577936,122.99443,180.46,219.58,358.42,11.65,0.418,12,2018,Agriculture,552.1,4.539,699.93,1
Buol,Buol_Kec_7,0.802932,121.163238,110.0,160.97,339.19,14.23,0.472,12,2015,Agriculture,413.4,3.11,1281.55,0
Morowali,Morowali_Kec_10,-1.34627,119.59134,136.66,196.35,8.68,18.86,0.244,12,2015,Tree Cover,395.54,4.449,862.45,0
Banggai,Banggai_Kec_16,-0.530891,123.731382,209.89,286.16,177.04,32.03,0.146,8,2018,Bareland,114.47,3.489,599.61,0
Palu,Palu_Kec_7,0.346371,123.011493,130.15,226.48,163.5,8.8,0.178,4,2020,Bareland,347.98,3.54,1922.08,0
Morowali,Morowali_Kec_2,0.617859,120.153122,110.2,136.22,419.89,25.53,0.45,7,2021,Tree Cover,606.41,3.822,1484.54,0
Poso,Poso_Kec_4,-1.50689,122.57966,54.65,55.44,149.63,39.11,0.454,10,2018,Tree Cover,33.11,3.403,102.27,0
Morowali Utara,Morowali Utara_Kec_13,-0.729611,123.461085,164.77,220.34,2.99,11.02,0.635,4,2017,Tree Cover,1233.43,2.871,504.68,0
Tolitoli,Tolitoli_Kec_15,-1.076804,120.27282,133.19,200.51,29.8,23.74,0.751,11,2019,Tree Cover,134.13,2.133,469.68,0
Morowali Utara,Morowali Utara_Kec_11,0.587097,120.704018,81.29,115.26,164.52,15.83,0.31,3,2017,Agriculture,130.18,5.974,1048.94,0
Tojo Una-Una,Tojo Una-Una_Kec_16,-1.494328,121.573822,172.07,243.34,430.65,7.0,0.042,6,2021,Bareland,448.19,1.943,155.65,0
Buol,Buol_Kec_17,0.411946,121.752205,192.83,230.11,180.09,29.98,-0.06,5,2018,Bareland,108.26,3.132,974.96,0
Buol,Buol_Kec_3,0.947672,120.888578,120.18,146.78,278.36,8.33,0.259,10,2018,Tree Cover,750.48,4.245,357.19,0
Donggala,Donggala_Kec_14,-1.326519,120.186074,194.01,249.92,315.08,0.89,0.509,9,2018,Tree Cover,97.22,5.057,451.22,0
Banggai Kepulauan,Banggai Kepulauan_Kec_6,-1.715027,122.976395,178.24,260.09,32.82,23.39,0.291,7,2019,Tree Cover,284.23,4.125,1454.84,0
Morowali,Morowali_Kec_4,-0.582337,119.655679,112.06,164.68,155.73,15.01,0.362,3,2015,Agriculture,749.13,2.008,1736.71,0
Morowali,Morowali_Kec_10,-1.167959,122.621452,221.68,227.47,386.09,13.26,0.016,3,2016,Built-up,2425.92,3.039,330.81,1
Poso,Poso_Kec_15,-0.168319,123.884239,71.48,129.32,380.89,4.51,0.318,3,2018,Tree Cover,991.24,5.961,908.51,0
Sigi,Sigi_Kec_15,-1.475441,122.704584,197.21,248.85,259.37,0.75,0.359,6,2019,Tree Cover,221.78,1.29,107.17,0
Tojo Una-Una,Tojo Una-Una_Kec_2,-1.704633,122.871157,213.94,225.43,202.65,5.6,0.53,8,2023,Tree Cover,1044.82,4.043,26.33,1
Tolitoli,Tolitoli_Kec_12,-0.13867,121.233202,178.17,211.77,11.07,19.31,0.603,10,2021,Tree Cover,559.72,4.456,1586.16,0
Banggai Kepulauan,Banggai Kepulauan_Kec_14,-0.780313,123.999757,142.77,179.74,25.27,36.48,0.445,4,2020,Tree Cover,281.69,4.35,249.05,0
Banggai Laut,Banggai Laut_Kec_2,1.186826,119.883099,220.43,266.66,311.13,6.17,0.313,5,2017,Agriculture,420.23,4.038,498.17,0
Banggai Laut,Banggai Laut_Kec_13,-0.982406,120.870869,211.07,239.84,187.28,19.47,0.781,10,2015,Tree Cover,205.02,4.683,1067.64,0
Morowali,Morowali_Kec_17,-0.529991,124.116412,116.7,134.37,146.56,18.11,0.442,6,2019,Agriculture,1036.06,2.707,259.17,0
Palu,Palu_Kec_5,-1.574524,121.237792,205.07,266.3,40.56,5.17,0.585,6,2017,Tree Cover,359.92,3.643,460.13,1
Banggai Kepulauan,Banggai Kepulauan_Kec_15,0.971482,122.695724,190.39,239.22,697.83,5.57,0.497,7,2024,Agriculture,759.86,5.95,3269.86,0
Sigi,Sigi_Kec_3,-0.471388,121.955705,116.98,176.06,79.6,24.82,0.228,1,2023,Agriculture,235.82,1.664,763.47,1
Buol,Buol_Kec_12,-1.466057,120.560627,175.1,224.23,295.52,10.26,0.318,8,2023,Tree Cover,240.74,3.921,191.24,0
Morowali Utara,Morowali Utara_Kec_19,-1.77658,122.968419,186.7,191.24,628.05,4.27,0.202,10,2016,Agriculture,273.62,4.758,836.15,0
Banggai Kepulauan,Banggai Kepulauan_Kec_5,-1.297134,123.688787,172.0,257.32,579.96,4.98,0.623,6,2017,Tree Cover,483.1,5.333,414.27,0
Banggai Laut,Banggai Laut_Kec_15,0.867714,120.549133,10.0,55.27,617.41,15.34,0.406,11,2018,Tree Cover,294.63,2.001,439.75,0
Morowali,Morowali_Kec_15,-1.748545,123.600768,116.29,132.8,2.49,22.49,0.321,3,2021,Agriculture,227.66,5.477,173.16,0
Banggai Kepulauan,Banggai Kepulauan_Kec_5,1.156901,123.911983,143.93,204.5,22.31,25.35,0.095,3,2015,Built-up,953.71,3.988,503.39,0
Morowali,Morowali_Kec_13,-1.332244,123.449741,196.15,258.34,58.25,35.75,0.245,8,2024,Tree Cover,449.73,4.66,329.18,0
Banggai Laut,Banggai Laut_Kec_9,-1.649361,122.543444,164.1,205.21,87.84,26.35,0.066,9,2024,Agriculture,127.27,0.43,1003.34,0
Donggala,Donggala_Kec_1,0.902604,121.064728,151.41,284.29,134.5,5.44,0.43,9,2024,Agriculture,354.12,5.234,1405.8,0
Tojo Una-Una,Tojo Una-Una_Kec_17,0.000372,120.281307,72.62,128.74,272.31,0.71,0.296,12,2016,Tree Cover,428.55,1.112,5.0,0
Banggai,Banggai_Kec_4,0.345006,122.952693,241.67,304.4,548.8,4.41,0.524,11,2022,Built-up,4883.32,5.917,40.24,0
Poso,Poso_Kec_9,-0.113152,120.760493,148.88,217.25,80.6,14.35,0.323,9,2024,Tree Cover,368.44,3.481,1400.2,0
Parigi Moutong,Parigi Moutong_Kec_20,-0.540759,121.805245,141.99,235.61,167.65,11.82,0.475,11,2019,Tree Cover,442.16,4.795,825.07,0
Tolitoli,Tolitoli_Kec_16,-0.503749,122.473881,83.63,98.86,282.69,5.33,0.45,1,2023,Built-up,2082.92,2.613,47.32,0
Parigi Moutong,Parigi Moutong_Kec_4,0.586365,121.439932,143.97,193.1,122.44,18.7,-0.003,8,2018,Agriculture,678.79,4.213,78.94,0
Donggala,Donggala_Kec_15,0.949879,120.995651,206.59,269.97,143.41,5.11,0.418,11,2020,Agriculture,351.64,1.249,1595.83,0
Tolitoli,Tolitoli_Kec_15,1.168694,120.288443,222.92,275.36,113.35,18.83,0.128,2,2021,Agriculture,1663.19,0.057,765.9,0
Buol,Buol_Kec_11,-1.224337,122.766358,142.99,182.92,32.37,25.99,0.475,6,2024,Tree Cover,270.39,0.65,744.25,0
Tolitoli,Tolitoli_Kec_3,0.128794,123.805651,94.13,142.89,68.33,16.93,0.522,3,2016,Tree Cover,409.28,2.326,423.68,0
Banggai,Banggai_Kec_18,0.552857,122.834333,135.29,201.72,461.75,25.09,0.358,9,2022,Tree Cover,41.77,2.358,85.25,0
Poso,Poso_Kec_6,0.94523,123.28297,124.23,191.81,61.19,26.93,0.412,10,2016,Agriculture,707.72,0.498,25.57,0
Buol,Buol_Kec_12,-0.484713,122.261075,64.69,127.94,129.21,7.64,0.395,4,2017,Agriculture,480.73,3.913,68.19,0
Donggala,Donggala_Kec_7,-1.332972,122.652109,137.26,206.78,564.82,27.38,0.193,1,2019,Agriculture,1469.87,2.966,23.43,0
Parigi Moutong,Parigi Moutong_Kec_16,-0.186231,123.093945,175.06,246.11,332.85,10.57,0.647,8,2015,Tree Cover,654.4,0.557,224.51,0
Palu,Palu_Kec_12,-0.051141,119.847608,95.12,95.57,102.61,17.1,0.555,6,2018,Tree Cover,282.95,1.35,738.95,0
Banggai,Banggai_Kec_19,-0.659978,123.816518,88.22,176.07,32.66,27.57,0.234,7,2020,Tree Cover,683.19,3.856,151.89,0
Tojo Una-Una,Tojo Una-Una_Kec_18,-0.518391,122.457644,152.08,205.4,336.38,38.93,0.419,10,2017,Agriculture,177.38,4.525,37.43,0
Banggai Kepulauan,Banggai Kepulauan_Kec_3,0.575895,123.213883,165.64,196.32,188.27,10.82,0.071,10,2020,Agriculture,714.18,0.398,657.28,0
Poso,Poso_Kec_13,0.911237,124.035587,199.89,263.42,333.68,31.3,0.477,3,2021,Tree Cover,99.42,1.589,504.98,0
Banggai,Banggai_Kec_14,-0.034069,124.11588,171.68,245.67,174.8,29.09,0.307,6,2018,Tree Cover,224.37,0.866,152.16,0
Banggai Kepulauan,Banggai Kepulauan_Kec_3,0.169971,123.685039,146.06,223.59,47.99,11.47,0.142,5,2018,Built-up,2578.3,5.615,284.27,0
Sigi,Sigi_Kec_11,0.35311,122.556528,188.51,225.35,126.16,7.02,0.67,5,2018,Tree Cover,1435.39,4.185,449.86,0
Banggai Laut,Banggai Laut_Kec_3,-0.236711,124.384657,104.82,164.97,135.16,9.65,0.538,4,2017,Tree Cover,197.77,2.866,1090.76,0
Tojo Una-Una,Tojo Una-Una_Kec_15,-1.324332,122.463861,73.1,172.5,189.09,13.35,-0.151,7,2019,Built-up,290.86,1.242,427.7,0
Banggai,Banggai_Kec_12,-1.159508,120.957195,156.03,180.22,315.17,11.05,0.213,4,2017,Agriculture,588.31,5.76,490.62,0
Buol,Buol_Kec_18,-1.080565,123.95934,98.66,166.18,33.41,20.46,0.9,7,2015,Tree Cover,38.23,1.287,1288.85,0
Banggai Laut,Banggai Laut_Kec_19,-0.395804,120.587422,167.1,225.59,146.83,8.95,0.373,11,2019,Agriculture,1761.1,4.291,1709.57,0
Buol,Buol_Kec_5,-1.573935,124.291743,195.5,305.49,219.51,5.61,0.199,9,2023,Bareland,83.65,5.724,1224.59,0
Banggai,Banggai_Kec_2,-0.247056,120.336838,95.84,144.25,22.62,11.09,0.726,8,2020,Tree Cover,649.75,1.79,411.7,0
Donggala,Donggala_Kec_17,-1.068202,123.69423,59.34,126.9,569.33,0.87,0.535,7,2018,Tree Cover,266.72,0.796,314.42,0
Sigi,Sigi_Kec_10,0.844424,123.455571,148.8,175.58,67.35,20.48,0.384,6,2023,Agriculture,132.5,1.895,600.47,0
Sigi,Sigi_Kec_11,0.853414,119.926844,194.52,279.37,191.34,8.01,0.221,10,2021,Agriculture,185.9,0.412,216.55,0
Morowali,Morowali_Kec_17,0.391699,122.621678,175.78,226.38,521.32,4.61,0.38,3,2015,Tree Cover,133.5,3.093,78.32,1
Donggala,Donggala_Kec_9,-0.768118,124.04066,179.17,216.1,478.71,12.68,0.319,4,2018,Agriculture,195.82,5.847,13.86,1
Banggai Laut,Banggai Laut_Kec_18,-0.693968,119.550452,143.76,201.68,202.84,3.89,0.43,4,2019,Tree Cover,850.63,5.722,900.02,0
Sigi,Sigi_Kec_10,-1.789467,119.700098,161.66,195.28,58.81,16.96,-0.02,7,2015,Built-up,148.87,4.372,487.15,0
Banggai,Banggai_Kec_3,-0.170138,124.37926,215.96,229.61,485.61,12.19,0.4,5,2024,Agriculture,338.16,2.009,120.96,0
Banggai Kepulauan,Banggai Kepulauan_Kec_19,0.31506,121.424754,188.96,252.88,108.2,3.64,0.191,5,2016,Agriculture,252.35,2.32,565.29,0
Sigi,Sigi_Kec_20,-0.211265,123.913072,155.73,233.32,58.46,6.03,0.286,11,2017,Tree Cover,379.72,3.599,256.59,0
Banggai Kepulauan,Banggai Kepulauan_Kec_2,1.12687,123.812505,131.69,173.4,281.45,24.1,-0.03,5,2015,Agriculture,728.94,2.354,1917.88,0
Donggala,Donggala_Kec_2,-1.279082,120.615063,219.92,243.17,114.7,32.38,0.404,8,2021,Tree Cover,544.34,0.308,54.98,0
Banggai Laut,Banggai Laut_Kec_7,-1.485182,119.611734,93.44,150.8,243.03,9.44,0.458,2,2019,Tree Cover,138.31,0.718,1037.87,0
Banggai Kepulauan,Banggai Kepulauan_Kec_1,0.032245,123.07925,138.82,165.09,9.26,33.28,0.206,10,2020,Tree Cover,337.73,3.579,627.31,0
Banggai Laut,Banggai Laut_Kec_18,-0.843605,119.756352,93.41,106.52,164.94,31.33,0.593,8,2023,Tree Cover,614.65,4.557,434.68,0
Poso,Poso_Kec_10,-0.388376,119.96607,107.03,157.58,378.28,6.95,0.31,6,2015,Tree Cover,34.55,1.156,5.0,0
Parigi Moutong,Parigi Moutong_Kec_13,-0.133444,123.624692,155.69,231.34,197.82,15.8,0.347,9,2023,Tree Cover,288.18,1.915,875.08,0
Tojo Una-Una,Tojo Una-Una_Kec_3,-0.718866,121.63451,124.9,170.63,53.33,28.47,0.415,6,2019,Agriculture,1039.21,0.197,899.94,0
Sigi,Sigi_Kec_15,-1.089216,122.968174,137.17,176.96,32.1,10.03,0.587,1,2020,Tree Cover,1745.18,2.676,330.77,0
Morowali Utara,Morowali Utara_Kec_16,-1.165589,120.828732,143.72,185.68,7.45,13.57,0.582,9,2018,Tree Cover,506.63,0.178,1073.52,1
Tojo Una-Una,Tojo Una-Una_Kec_7,0.786815,120.339463,154.64,175.6,183.91,9.73,-0.038,6,2019,Bareland,355.79,1.45,652.28,1
Banggai Kepulauan,Banggai Kepulauan_Kec_5,0.837186,121.522582,119.35,139.78,152.08,14.46,0.213,7,2022,Tree Cover,148.12,3.125,192.08,0
Tolitoli,Tolitoli_Kec_11,0.706087,122.578963,136.97,206.82,524.19,2.42,0.35,8,2017,Built-up,2932.55,1.226,522.58,0
Tolitoli,Tolitoli_Kec_12,-0.100828,122.907675,191.43,197.45,118.62,11.56,0.396,7,2017,Tree Cover,275.23,3.084,1590.38,0
Sigi,Sigi_Kec_12,0.431596,123.78187,105.23,107.65,88.18,34.72,0.071,4,2016,Built-up,360.65,4.018,474.01,0
Banggai,Banggai_Kec_4,0.762661,120.012003,169.4,195.06,52.47,13.01,0.549,4,2018,Tree Cover,233.68,5.38,844.63,0
Morowali,Morowali_Kec_8,-1.792178,122.641197,199.79,320.85,308.23,24.88,0.442,11,2019,Tree Cover,186.89,2.047,603.82,0
Donggala,Donggala_Kec_9,-1.561585,121.970404,194.81,234.75,418.59,17.54,0.592,12,2017,Tree Cover,35.02,3.328,1177.18,0
Tojo Una-Una,Tojo Una-Una_Kec_8,0.3914,121.553381,187.53,192.31,232.23,45.41,0.293,12,2019,Agriculture,651.78,3.842,1239.81,0
Donggala,Donggala_Kec_2,-1.183285,119.857192,154.34,257.66,242.28,2.77,0.542,2,2019,Tree Cover,110.62,4.637,123.28,0
Poso,Poso_Kec_13,0.257735,122.301156,150.74,200.41,64.58,6.31,0.549,3,2016,Tree Cover,140.66,4.499,1952.52,0
Banggai Kepulauan,Banggai Kepulauan_Kec_14,-1.118621,123.941539,214.07,220.76,356.09,25.07,0.291,7,2020,Agriculture,88.67,0.164,95.21,1
Sigi,Sigi_Kec_11,-0.958817,124.377716,125.73,142.44,279.57,14.73,0.284,11,2023,Tree Cover,65.05,2.036,509.79,0
Parigi Moutong,Parigi Moutong_Kec_6,-1.524186,122.929646,203.46,247.22,237.27,17.98,0.131,3,2023,Bareland,643.45,5.144,146.58,0
Banggai,Banggai_Kec_15,-0.463699,123.061244,182.67,226.98,19.84,35.3,0.631,6,2021,Tree Cover,383.38,3.576,546.48,1
Tojo Una-Una,Tojo Una-Una_Kec_10,0.442724,123.152713,153.29,185.26,125.84,13.57,0.244,10,2023,Tree Cover,208.12,4.222,104.32,1
Palu,Palu_Kec_3,-1.621081,121.088653,148.84,203.24,28.12,20.14,0.394,10,2018,Tree Cover,535.62,3.516,644.05,0
Banggai,Banggai_Kec_15,-1.495284,121.23514,217.78,272.78,48.78,7.72,0.356,4,2023,Agriculture,122.73,2.171,735.19,0
Parigi Moutong,Parigi Moutong_Kec_19,-0.586034,121.64524,137.74,142.19,612.61,14.76,0.854,11,2022,Tree Cover,1780.07,2.917,2770.36,0
Morowali,Morowali_Kec_2,-1.338765,120.166134,181.95,210.69,70.02,12.68,0.327,6,2020,Agriculture,842.75,3.352,223.19,0
Poso,Poso_Kec_16,1.017672,120.433495,143.56,151.25,135.3,36.78,0.544,11,2016,Tree Cover,346.27,0.845,537.53,0
Banggai Kepulauan,Banggai Kepulauan_Kec_16,-1.470421,121.623417,55.27,100.47,373.0,3.38,0.601,4,2024,Tree Cover,1048.7,1.625,200.74,0
Poso,Poso_Kec_18,-1.486733,121.77031,30.37,75.99,40.98,9.2,0.273,9,2022,Agriculture,584.72,5.834,358.88,0
Donggala,Donggala_Kec_14,-1.194601,119.852671,112.94,187.17,187.76,6.8,0.463,8,2019,Agriculture,220.54,1.026,21.04,0
Poso,Poso_Kec_12,-0.940358,124.361299,47.45,125.86,439.13,11.41,0.595,7,2024,Tree Cover,400.96,1.781,1265.27,0
Buol,Buol_Kec_13,-1.680583,123.315097,152.2,215.06,17.91,10.74,0.202,4,2019,Tree Cover,244.54,3.509,1133.32,0
Palu,Palu_Kec_13,0.870943,124.396125,203.47,275.49,0.23,23.1,0.126,8,2018,Agriculture,171.18,2.814,1103.01,0
Banggai Kepulauan,Banggai Kepulauan_Kec_18,-1.140226,124.236135,137.46,171.92,47.65,19.0,0.331,10,2020,Agriculture,204.9,3.958,848.6,0
Morowali,Morowali_Kec_18,-0.843445,124.464072,139.64,224.51,47.88,31.05,0.182,2,2024,Bareland,48.77,4.931,162.62,0
Donggala,Donggala_Kec_13,-1.759026,121.908412,189.5,238.0,18.11,34.25,0.469,4,2016,Tree Cover,597.35,5.282,2220.41,0
Buol,Buol_Kec_18,-0.093693,123.453298,180.49,201.34,50.34,7.74,0.281,10,2023,Tree Cover,1118.34,5.265,1529.19,1
Banggai Kepulauan,Banggai Kepulauan_Kec_20,-0.055845,124.043278,182.34,275.14,27.21,20.41,0.145,8,2017,Agriculture,26.63,5.106,299.15,1
Sigi,Sigi_Kec_4,-1.433181,120.413943,93.37,190.75,572.84,5.68,0.211,3,2020,Tree Cover,322.42,3.378,891.23,0
Morowali,Morowali_Kec_11,-1.453164,120.014101,217.35,243.84,5.7,22.65,0.386,7,2019,Tree Cover,199.69,3.21,126.61,1
Buol,Buol_Kec_5,-0.049754,124.425049,242.54,284.11,407.21,10.93,0.562,11,2019,Tree Cover,104.95,5.315,1029.29,0
Parigi Moutong,Parigi Moutong_Kec_20,0.596247,120.785573,95.14,122.47,305.06,29.53,0.413,5,2018,Tree Cover,34.82,4.05,2413.29,0
Banggai,Banggai_Kec_2,-0.401429,122.772924,161.22,202.93,502.61,8.06,0.501,11,2023,Tree Cover,328.76,4.194,726.54,0
Palu,Palu_Kec_2,1.089344,120.114378,187.26,259.84,192.78,9.59,0.269,11,2020,Agriculture,513.35,1.229,40.24,0
Tolitoli,Tolitoli_Kec_11,-0.225926,123.292043,94.25,98.49,544.06,14.55,0.107,5,2019,Bareland,1845.66,0.418,1092.04,0
Banggai,Banggai_Kec_15,0.15097,120.552414,95.96,179.44,412.72,37.99,0.209,2,2015,Agriculture,648.8,1.305,218.21,0
Banggai Kepulauan,Banggai Kepulauan_Kec_17,-1.565671,121.637076,197.08,249.38,1214.64,10.87,0.089,1,2018,Agriculture,126.94,5.604,28.49,0
Morowali,Morowali_Kec_20,0.368182,124.319767,77.87,130.85,157.6,17.71,0.016,11,2024,Bareland,807.83,2.411,87.51,0
Sigi,Sigi_Kec_13,-0.149093,122.954776,194.56,258.85,28.44,14.16,0.292,3,2018,Tree Cover,256.21,5.498,551.23,0
Banggai Kepulauan,Banggai Kepulauan_Kec_11,0.451167,119.865875,162.66,192.14,133.47,23.52,0.201,9,2021,Tree Cover,169.33,2.137,195.45,0
Tolitoli,Tolitoli_Kec_19,-0.755713,122.786965,190.77,235.41,337.26,7.13,0.045,12,2019,Bareland,579.6,0.853,21.06,0
Tojo Una-Una,Tojo Una-Una_Kec_1,0.080561,119.868091,25.03,58.44,16.21,12.01,0.662,1,2021,Tree Cover,514.78,2.977,1383.19,0
Morowali,Morowali_Kec_11,1.154057,123.352447,128.5,178.99,128.37,15.05,0.227,8,2019,Agriculture,181.17,5.592,126.34,0
Morowali Utara,Morowali Utara_Kec_19,-0.021137,120.103692,97.1,167.45,41.45,3.06,0.082,4,2015,Bareland,375.82,1.935,108.06,0
Buol,Buol_Kec_1,-0.224216,123.009743,217.38,265.5,104.19,22.11,0.413,4,2020,Tree Cover,98.54,1.851,532.5,0
Poso,Poso_Kec_19,-1.481918,124.191177,175.07,223.3,38.57,9.77,0.139,4,2021,Built-up,68.56,2.989,1128.52,0
Parigi Moutong,Parigi Moutong_Kec_2,-0.943053,120.741983,139.29,175.2,92.4,23.14,0.257,4,2016,Tree Cover,68.51,3.086,588.57,0
Sigi,Sigi_Kec_17,-1.619745,124.36451,166.33,239.92,1.97,14.05,0.282,9,2017,Tree Cover,489.39,4.011,963.6,0
Sigi,Sigi_Kec_8,-0.639275,122.914138,198.47,239.51,579.68,28.73,0.277,12,2018,Agriculture,320.47,4.983,32.52,1
Banggai Kepulauan,Banggai Kepulauan_Kec_4,0.006738,124.394709,92.73,122.69,279.16,1.85,0.132,3,2017,Agriculture,1043.16,1.44,625.4,0
Palu,Palu_Kec_15,-1.359231,122.365675,227.56,238.67,61.97,14.73,0.365,4,2023,Tree Cover,352.24,2.494,1457.57,1
Morowali Utara,Morowali Utara_Kec_5,0.13531,123.871935,206.42,305.46,233.06,19.05,-0.008,5,2016,Bareland,1028.06,3.517,129.27,1
Tolitoli,Tolitoli_Kec_7,0.849343,121.830706,114.74,155.09,20.1,27.1,0.455,12,2024,Tree Cover,252.94,3.226,2485.98,0
Banggai,Banggai_Kec_20,-0.933027,123.497975,197.3,270.91,20.08,10.84,0.534,3,2021,Tree Cover,419.34,2.184,485.62,0
Tojo Una-Una,Tojo Una-Una_Kec_2,-0.642358,123.352189,133.32,200.03,235.65,15.11,0.403,1,2018,Agriculture,371.08,4.44,617.56,0
Banggai,Banggai_Kec_7,1.133928,123.019263,95.5,126.6,40.33,5.14,0.045,2,2024,Built-up,275.09,0.777,451.38,0
Morowali,Morowali_Kec_16,-0.305365,123.964153,122.5,188.06,433.27,24.63,0.607,8,2021,Tree Cover,156.03,0.341,1682.6,0
Banggai,Banggai_Kec_13,-1.354982,119.610666,169.19,254.51,867.08,44.92,0.104,10,2016,Bareland,136.4,5.771,691.1,1
Sigi,Sigi_Kec_15,-0.682599,121.788133,97.1,117.32,30.9,12.14,0.124,4,2016,Built-up,53.74,2.144,79.25,0
Morowali,Morowali_Kec_18,1.149773,121.144165,133.62,210.83,15.73,17.32,0.488,7,2020,Tree Cover,475.05,1.862,29.02,1
Banggai Laut,Banggai Laut_Kec_9,-0.041639,120.990715,195.68,253.69,362.21,21.51,0.633,3,2018,Tree Cover,322.44,3.184,2090.7,0
Banggai Kepulauan,Banggai Kepulauan_Kec_16,0.520177,119.760262,265.74,313.39,13.03,13.6,0.356,9,2021,Agriculture,228.29,3.35,1286.87,0
Parigi Moutong,Parigi Moutong_Kec_9,-1.125719,122.56526,217.21,308.9,193.98,12.89,0.439,5,2021,Tree Cover,639.9,0.289,632.77,0
